global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
942.8611240059912	n/a	888987.0991618411	n/a	911.4821672492852	n/a	n/a	830799.7412134539	924.4803508365668	n/a	n/a	854663.9190829017	934.7534006838976	711.0625992412715	n/a	n/a	n/a	n/a	-0.0871775822	-0.0229684132	0.0413307195	-0.0121784399	0.0990040518	0.1014897162	0.0187685561	-0.0169704449	0.1128702349	-0.1148367422	-0.0128493941	0.0953261222	-0.0335134062	0.1255508985	0.0387001094	-0.1009219957	0.0125733645	-0.0517350914	0.1407761811	-0.0261632169	-0.1960971349	0.2298839418	-0.000515473	0.091971791	-0.0390276939	0.1150908758	-0.0030481077	0.1279225963	-0.0150032915	0.0541183582	-0.0887263742	0.050293903	-0.0672433312	0.0984529319	0.0364997827	-0.0467523659	0.0929847899	-0.0717656419	0.0042814746	-0.150839313	0.0725399793	-0.1031008647	0.1222781009	-0.0670877287	0.0227958645	-0.1186269027	0.1050122544	-0.1662864829	0.0579945895	-0.0577125654	0.2628494693	-0.1528219058	0.0561562832	-0.0343037881	0.0871458446	-0.1970965265	0.005428381	-0.01282422	0.07017733	-0.0429784102	0.1960928467	-0.2447104291	0.07416039	-0.0911255995	0.0681187486	-0.0332001253	0.0585332914	-0.1040642263	0.1213525849	-0.0093325066	0.1106680858	0.0540259571	-0.2037891331	0.2338004422	-0.0275295658	0.0183202822	-0.060063547	0.0215691102	-0.1162056363	0.0575254516	0.1290883846	0.1290552057	0.1289999139	0.0127747038914804	n/a	0.000163193059515	n/a	3.1443207333836654e-05	n/a	9.88675287438639e-10	n/a	-0.0375912532998512	n/a	0.0014131023246535	n/a	7.400000538823841e-05	n/a	5.476000797459314e-09	n/a	-0.0005689997787656	n/a	3.237607482353018e-07	n/a	2.10362257237743e-08	n/a	4.4252279270158357e-16	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
942.0420248094524	-0.8190991965387866	887443.176507093	0.6709234937704858	897.6210444359806	-13.861122813304632	192.13072564551413	805723.5394143406	924.4423304966518	-0.038020339914965	0.0014455462472494	854593.6224140809	933.1063942810312	718.5764782779901	1.075449	14.118608	0.0404949831716896	0.0290606665428322	-0.0942956226	-0.0024726683	0.0815777111	0.0973215086	0.0703563788	0.0719475544	-0.0308459253	-0.024281896	0.0450775683	0.0213968138	-0.0221858955	-0.0332732209	0.0953300286	0.1339133036	-0.1470264466	-0.0413597119	0.0690097851	0.1712986326	0.1479492748	-0.0098993321	-0.1900091186	0.2254492964	0.044218249	0.2635192518	0.2997684071	0.0368308609	0.005435687	0.0613447802	0.0968136765	0.088082514	0.0593993218	-0.1003561429	0.0259857308	-0.013336051	0.1673424386	0.0510123895	0.0397996535	-0.091948532	0.0027796603	0.0136204589	-0.1220987895	-0.1290029138	-0.154841433	0.0880759835	-0.0048300587	-0.1524055559	-0.1046714662	-0.090486272	-0.0627130992	-0.2177480467	0.3373631232	-0.2856259955	0.0281938074	0.0393935456	-0.1580453987	0.0273228767	0.043081641	0.0917176341	0.0504693551	0.0166067899	0.1568150561	-0.1415287373	0.1691897919	-0.1973238929	0.0620041657	-0.0461962598	0.2407977626	-0.0405967021	0.1963256926	0.0925581187	-0.0556361132	0.0995030085	-0.0372991794	0.1767158585	0.1495440873	0.0572988016	0.3129302098	-0.1447465013	0.2433089673	-0.0743448154	0.1289999139	0.1287014744	0.1282045865	0.0196974488247292	0.0069227449332488	0.0003879894902028	4.792439741082195e-05	-1.7217431746985312e-05	-4.8660639080821966e-05	2.9643995596209767e-10	2.367857795754018e-09	-0.01242006720787	0.0251711860919812	0.000154258069448	0.0006335886092771	-9.30002962877546e-05	-0.0001670003016759	8.649055109610141e-09	2.7889100759872666e-08	-0.000568999769392	9.373599986484128e-12	3.237607375681492e-07	8.786437670661522e-23	-2.6482872260313764e-08	-4.7519097984088064e-08	7.013425231560962e-16	2.2580646732213626e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
942.6728399916808	0.630815182228389	888632.083257981	0.3979277941298355	903.1175269015008	5.4964824655202165	30.2113194937712	815621.267396683	926.8445442681297	2.4022137714778182	5.770631003877684	859040.809239597	935.0851027619294	717.5067992025567	1.326899	17.419659	0.0570819936927651	0.0331218658555782	0.0445539915	0.0253178017	0.0614347366	0.0483759208	0.0945581726	0.0363571719	-0.0515503803	-0.1500611105	0.0891208221	0.0507006484	-0.0081787958	-0.1031182856	0.0485880626	-0.0103370503	-0.0266837146	0.0406870418	0.0149710699	-0.0175493956	-0.1351966754	-0.1758286867	-0.1841285072	0.2136686614	0.0935895754	0.0569903027	-0.0208727841	-0.0158312358	-0.0473425064	-0.0963134287	-0.0688301463	-0.1563883802	-0.1081895638	0.1075360677	-0.0305644969	0.1080795767	-0.083349535	-0.1503529455	-0.0004619827	-0.058249004	0.0082526104	0.1143138197	-0.0418895246	0.0589180816	0.0100011291	-0.0251960158	-0.0421207337	0.0652737705	-0.0599205545	-0.3503584915	-0.1295845801	-0.1744841814	-0.0607498357	-0.0529427333	-0.0771343235	0.1362366379	-0.0108546303	-0.1008057029	0.0374056294	-0.028315943	0.0954957963	0.1060172523	0.0299745989	-0.1990844675	0.0682844917	-0.154625112	0.117697223	-0.0168284809	0.3020733255	-0.0295769442	-0.0054014194	-0.1130421699	-0.0812805273	0.1324815363	-0.0532386033	-0.1421208997	0.0411195759	-9.3828e-05	-0.0496729757	-0.1135286671	0.0022792691	-0.0048294687	0.1288230331	0.1279949812	0.1266188352	0.0211748137278249	0.0014773649030957	0.000448372736408	2.182607056898969e-06	0.0215089223024449	0.0215261397341918	0.0004626337386126	0.0004633746918559	-0.0124001721293041	1.989507856590099e-05	0.0001537642688363	3.9581415114337297e-10	-0.0004380000478802	-0.0003449997515924	1.918440419430575e-07	1.1902482859884904e-07	-0.0009050001673844	-0.0003360003979923	8.190253029657919e-07	1.1289626745105116e-07	-1.982128256478933e-07	-1.7172995338757954e-07	3.9288324251322156e-14	2.949117689050024e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
942.308871467888	-0.3639685237927779	887946.0092470847	0.1324730863118939	906.57493783109	3.457410929589173	11.95369033604267	821878.1179034447	927.517993711554	0.6734494434243743	0.4535341528485995	860289.6286587063	936.3834337416528	712.101703510728	1.188076	15.597177	0.0351830838777597	0.0230436780327129	0.1336445975	-0.0300374494	0.036332375	0.1140515681	0.1206240438	-0.0590563761	0.0571246249	-0.2010751292	0.0504597198	-0.0639780218	0.0663892077	-0.0504322304	0.0105543798	-0.1527513012	0.0908562635	0.001609965	-0.204804432	-0.1307663467	-0.1557676489	-0.0233586632	-0.2546488925	0.028517042	-0.0065547758	-0.1176388025	0.0150039581	-0.1803391518	-0.0544541581	0.1234921751	-0.0079730431	-0.158616237	0.088907872	-0.0473914771	0.057445626	0.0259225558	-0.004987975	-0.0141004807	-0.007751599	0.1029313902	-0.0377470833	0.1322379782	0.0378427503	0.0067897725	0.2823566135	-0.0238696683	0.0186684613	0.1796176521	-0.2189371154	-0.1974016881	-0.0085335323	0.1154529783	-0.0364058097	0.077449682	0.142328904	0.0232306743	0.0696549205	-0.0119228789	0.057586398	0.0477578154	0.0517312816	0.2258428709	-0.1501982242	-0.1707618021	0.0943673826	-0.0872557459	-0.0260477842	-0.1409081499	0.0513752452	0.0338900554	-0.0044234829	0.0308623156	0.1090292088	0.0251986608	0.0663810721	-0.1935167623	-0.0984192506	0.0984787447	-0.352195312	0.0963897981	-0.2038992925	0.1342455382	0.1285578634	0.1269376627	0.1242524367	0.0174319982046	-0.0037428155232249	0.0003038745614051	1.400866804089329e-05	2.3076648830056e-05	-0.0214858456536148	5.325317212257251e-10	0.0004616415634509	-0.0125016539045645	-0.0001014817752603	0.0001562913503495	1.0298550710002289e-08	-0.0003519997523158	8.600029556439997e-05	1.2390382563038457e-07	7.396050837164153e-09	-0.0007940001404	0.0001110000269843	6.304362229552197e-07	1.2321005990537516e-08	-1.397168612549745e-07	5.8495964392918816e-08	1.9520801318941796e-14	3.4217778502576248e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
940.1091566620108	-2.1997148058771927	883805.2264397573	4.838745227195336	899.9549794117165	-6.619958419373461	43.82384947423357	809918.9649679431	925.0650098426794	-2.4529838688746395	6.017129860959194	855745.2724352365	933.7624840320888	704.1470702858859	1.08766	14.278911	0.0340491444064664	0.0194374214097408	0.1294668689	0.0006662372	-0.0406147018	0.068472017	0.0097211192	-0.1408701791	0.0329774073	-0.0995087944	-0.0557707309	-0.0867279582	-0.0569621442	0.0325332187	0.049703748	-0.1629514028	0.0145220481	0.1836211754	-0.1621004414	-0.0286286745	-0.07670966	0.1724058664	0.0451574318	0.0013522323	0.0737323682	0.0872368307	0.0677622969	0.0053279799	0.0049613189	-0.0364867122	0.0735765158	-0.0416819247	0.1560862697	-0.0296887596	-0.0289287674	-0.0014640914	0.0262917004	0.0353993437	-0.1065684624	0.0802428427	-0.1016283564	0.033165485	-0.0591420542	0.1583246648	0.1088618726	0.0642694222	0.0988242943	0.1399114239	-0.1254031063	0.0753212982	0.0463777036	0.0527751334	0.1787385982	0.0988520385	-0.0407353272	0.0562911959	-0.1028731233	0.0186714892	0.0438991487	-0.0255599248	-0.0328503507	0.185942581	-0.0814217471	0.0834839387	0.162457271	-0.1112361329	-0.0570388905	0.0124892907	0.1059887557	-0.1095193804	-0.0347195831	0.0060859259	0.0586478826	0.0190894777	0.0200792231	-0.114769866	0.1090886735	0.1826249271	-0.0053945115	0.0305297587	-0.1081801429	-0.2321754852	0.1282045865	0.1255324169	0.1211199807	0.0213520413424248	0.0039200431378247	0.0004559096694886	1.536673820240729e-05	8.448187676890484e-05	6.140522793884884e-05	7.137187502396423e-09	3.770602018221982e-09	-0.0122506402879594	0.000251013616605	0.0001500781874649	6.300783572117208e-08	-0.0004598618515407	-0.0001078620992248	2.114729225024408e-07	1.1634232449202163e-08	-0.0010075635535888	-0.0002135634131887	1.0151843145204906e-06	4.5609331452850096e-08	0.000274768419207	0.0002749081360682	7.54976841935137e-08	7.557448327652222e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
940.928472784907	0.8193161228961117	885346.3908973373	0.6712789092375163	898.6810393519908	-1.27394005972576	1.6229232757740728	807627.6104907744	925.585515526046	0.5205056833666504	0.2709261664169837	856708.5465516164	934.788740925769	701.1153968397037	1.032773	13.558351	0.0679114078634254	0.0328239018785642	0.1439383567	0.0231270232	-0.0197005382	-0.0088201789	0.0230120056	-0.1231801746	0.030719936	-0.0275815931	-0.0153901426	0.0797930059	-0.060855208	0.0922220018	-0.1234787942	-0.175618877	0.081628551	-0.0156649115	-0.0045849412	-0.1289912538	0.0392849878	0.0684807802	0.0619526652	0.1033860026	0.074521153	0.0416401183	-0.0619896035	0.0801267603	0.0448160023	0.0161128005	0.0031931001	0.0752122279	-0.0398210191	0.0171679519	-0.0375021786	0.1810333472	-0.0034503754	0.1190032303	-0.071813784	0.087391233	0.0080540663	-0.0775672037	0.113413851	0.1494186008	0.1822270938	-0.0601213324	-0.0808048247	-0.070874707	0.0447054217	-0.0017149993	0.0967107729	0.0053044772	0.001298319	0.1091255809	-0.1220423686	0.146484109	-0.1153371608	0.0058115555	-0.023741169	-0.1667205895	-0.0234085902	0.090805702	-0.0045966826	0.0029365945	0.0429946852	-0.134218402	-0.0518385117	-0.0376855519	0.0597609418	-0.1485056765	-0.0962297928	-0.0472536693	-0.1399296001	-0.0473260019	0.1650318294	-0.0793139345	-0.1707685864	0.0050716237	0.1083158666	0.0088360247	-0.1106587095	0.1300161623	0.1277634447	0.1237830955	0.1172407796	0.0418181332827742	0.0204660919403494	0.0017487562712558	0.0004188609193108	9.59597785765709e-06	-7.488589891124775e-05	9.208279104464516e-11	5.6078978557456166e-09	0.0114035863713581	0.0236542266593175	0.000130041782129	0.0005595224388503	-0.0002610003825155	0.0001988614690251	6.812119967323732e-08	3.9545883862860566e-08	-0.0010070008055651	5.627480237000142e-07	1.0140506224087603e-06	3.1668533817827177e-13	-1.3143104104517181e-07	-0.000274899850248	1.7274118550217634e-14	7.556992766639766e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
941.6369628908792	0.7084901059722597	886680.169882359	0.5019582302605837	900.8236609943752	2.1426216423844835	4.590827502414381	811483.2682073091	926.0570724335224	0.4715569074763834	0.2223659169886904	857581.7014041462	935.3539744017036	719.6968757570252	0.963289	12.646154	0.0186867672286685	0.017729940568751	0.1361089213	0.0781104125	0.002126911	0.0340360723	-0.0116485132	-0.1399067598	-0.0395211137	-0.0168400273	0.0028932797	0.0608142989	-0.0943135802	0.0336602364	-0.0847085444	-0.1485005457	0.1067162102	0.013643603	0.1471960705	0.0062342391	0.0514826299	0.1087487731	0.0006314375	0.0286468866	-0.1102023199	0.117238743	-0.0473609707	0.0295279889	0.0506774096	-0.1116597656	0.01603722	-0.0580004136	-0.0121278678	0.0938633454	-0.0606367894	0.0229963973	0.1782519059	-0.0038875149	-0.1370099574	0.084487961	0.0156762439	-0.0323497629	0.1107800118	0.0731008647	-0.0444813972	-0.1120333516	-0.074128949	-0.0538068082	-0.038272139	0.0517929589	0.1399162349	0.0061275878	0.0568946687	-0.0655300078	-0.1374660659	-0.0720586781	0.0350613973	0.0076745875	-0.00980916	-0.1619442326	0.0266767367	0.0629789406	0.0274000607	0.0167101115	0.0205338784	-0.0384418777	-0.0005293391	0.0264455292	-0.0013219733	-0.0638603069	-0.1617425214	-0.1319701196	-0.0754039731	0.075887909	0.177684273	-0.0254939767	-0.1355183266	-0.0848479301	0.0095146184	0.0259277493	0.1148505794	0.1166896911	0.1272347401	0.1216944932	0.1126387502	0.0418059048754599	-1.2228407314303358e-05	0.001747733682456	1.4953394544450786e-10	1.0420661340049264e-05	8.246834823921745e-07	1.0859018276399731e-10	6.80102846130484e-13	-0.0060194866121605	-0.0174230729835186	3.6234219073979497e-05	0.000303563472189	-0.0002360003079353	2.500007458020002e-05	5.569614534555642e-08	6.25003729015563e-10	-0.0010070006469642	1.5860089999132632e-10	1.0140503029863172e-06	2.515424547805869e-20	-1.1884113508083178e-07	1.258990596434003e-08	1.4123215387300506e-14	1.5850573219092468e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
939.7776446538824	-1.8593182369968415	883182.0213911987	3.457064306429044	904.5157156150434	3.6920546206681593	13.631267321997106	818148.6797945941	925.6126101674432	-0.4444622660791992	0.1975467059682569	856758.7041009872	934.6316632156056	716.77054720886	1.445505	18.976732	0.0370644828349585	0.0267238428479745	-0.0717105583	0.0875962186	-0.0115889617	0.1101245383	-0.0956211989	0.0002109515	-0.1166263548	-0.0521206021	0.0062206619	-0.0162672271	-0.0839656687	0.0033064358	0.0860016019	0.0443001568	-0.1053127075	-0.0268512791	0.1606839877	0.0025441462	0.1116303959	0.09387484	0.0431616665	-0.0840622309	-0.1507562349	0.0515558881	-0.0504384128	0.0325214188	-0.1258469611	0.0805407769	-0.0148251996	-0.0293987561	-0.0565964485	0.0165636108	-0.0611148566	-0.0592726292	0.015209453	-0.0089912887	-0.0793041908	-0.0704259187	-0.0425612438	-0.0244637222	-0.1056959181	-0.0468938532	-0.1217095376	-0.0745198243	0.0580757006	-0.1322672373	0.0739324564	0.0262622336	0.1217596703	0.1013708775	0.0724542191	0.0408756856	0.0064188311	-0.1315070049	-0.088304615	-0.0949444072	-0.000702198	-0.0589631366	0.0847401715	-0.1483248634	0.1278544499	0.0080325738	0.0393812452	0.0242000995	0.0275479522	-0.0890184956	-0.0290112065	0.03089876	-0.0794154219	-0.0417864829	-0.0759773393	-0.0011797733	0.0701751163	0.1390831042	-0.1169927159	-0.1175441931	0.0234091256	0.1298500866	-0.0131392967	-0.0394687699	0.1266188352	0.1192723348	0.1073422654	0.0417906610012863	-1.524387417359968e-05	0.0017464593469244	2.3237569982053932e-10	4.034809825270713e-05	2.9927436912657868e-05	1.6279690326101082e-09	8.956514801611167e-10	-0.0061309149251513	-0.0001114283129907	3.758811781944296e-05	1.2416268935975532e-08	0.0001199999948835	0.0003560003028188	1.4399998772040028e-08	1.2673621560707732e-07	-0.0006249995894553	0.0003820010575088	3.906244868192935e-07	1.459248079379179e-07	3.746275484802424e-08	1.5630388992885605e-07	1.403458000803164e-15	2.443090600689194e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
939.2503476079004	-0.5272970459819817	882191.2154815617	0.2780421747013241	897.4422781747147	-7.073437440328689	50.03351722224368	805402.642655422	926.5964779267676	0.9838677593244256	0.9679957678380658	858581.0329062908	934.9851415483784	699.7341896914696	1.263703	16.590023	0.013972045658965	0.0083387394118723	-0.1116389716	-0.0499605737	-0.0373570741	-0.0813319466	0.0524621156	0.1003828583	-0.013990219	0.0919598809	-0.0602139299	-0.0531300025	0.0888803043	-0.0087885412	0.0799472175	0.1476277725	-0.0743564225	-0.1849869894	-0.0471815295	-0.0492917072	0.0855730934	-0.1370828513	0.1188485822	-0.0930282019	-0.0026391566	0.041693812	0.0316943643	0.0390272274	-0.0398601446	0.0251085341	0.0445251919	0.0448618216	-0.1333784962	-0.0305768312	-0.0282094049	-0.0710545744	0.0078144044	0.0486206549	0.1046344872	-0.0640722812	-0.0096019944	-0.013409146	-0.0171738607	-0.2507236114	0.0193345234	0.0683824156	0.012497646	-0.1081127145	0.0443974807	0.0802822831	-0.0781316159	-0.0210366098	-0.0527156697	0.0967222006	0.0689572957	0.012978871	-0.044825062	-0.0905654088	0.0269775311	0.1271143311	-0.016910769	-0.0617674901	0.0006511687	-0.1000440229	0.0323061463	0.089158403	-0.006518844	-0.1239450286	-0.1125611854	-0.1246169848	0.0900349632	0.0353614567	-0.1380890919	-0.0233105772	0.0422284941	0.0112762822	0.058782426	-0.1709395992	-0.1781556785	-0.0322286844	0.13838863	0.0512369844	0.1259161521	0.1165232592	0.1013839798	0.0462329907198437	0.0044423297185574	0.0021374894309011	1.973429332837829e-05	-1.3612214559088898e-05	-5.396031281179603e-05	1.8529238520267172e-10	2.9117153587468792e-09	-0.0061070433157652	2.3871609386099703e-05	3.729597806063241e-05	5.698537346825235e-10	-1.000010892412629e-06	-0.0001210000057759	1.0000217849439029e-12	1.4641001397770893e-08	-0.0006929994059288	-6.799981647350004e-05	4.802481766176698e-07	4.6239750404296875e-09	-3.9535993380271437e-10	-3.7858114781826965e-08	1.5630947725648668e-19	1.4332368548339848e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
940.3520990597596	1.1017514518591724	884262.0702060958	1.2138562616737945	899.2787811449787	1.8365029702639504	3.372743159788312	808702.3262175984	926.484197166671	-0.1122807600966098	0.0126069690878724	858372.967599571	935.5141690835914	708.2923361016799	0.990103	12.998165	0.0649924147990676	0.0302774471743145	-0.0751358603	-0.0538956354	-0.0244804948	-0.0821475261	0.0758046659	0.0863775127	0.0547177352	0.0785940691	-0.0254730253	-0.0247959187	0.1055425896	0.0175995725	0.0575454928	0.0992725295	0.0053053745	-0.06761904	-0.1161466555	0.099596444	-0.0487568254	0.0394275615	0.105543229	0.0209806293	-0.1054055137	-0.0563851419	-0.029226562	-0.0162682825	-0.040907038	-0.0499230046	-0.0147341648	-0.0375226949	0.1434839854	0.1366390748	0.0445661112	-0.021716281	-0.0407083038	0.0401034356	0.1073868511	0.0002619523	-0.0178826638	0.0022721087	0.0284736811	-0.1152030492	-0.0193756677	0.1131268911	0.0769307913	0.0761487993	0.0137996591	0.0798845997	-0.0686957588	0.0738581772	-0.0101306558	-0.0493078298	-0.0744387681	-0.0341705561	0.0285246962	0.0750797731	0.0351583166	0.1004708771	-0.0783125021	0.0107142044	0.0189692902	-0.0248682182	0.0178695774	0.1823715759	-0.045639935	0.0775271897	-0.0963519467	-0.0972234141	-0.0093006029	-0.1006881704	-0.0384569986	0.0753492282	-0.1208253504	-0.1037001958	0.0868017181	0.0223952455	0.0479711864	0.155848544	0.1496441204	0.0640981077	0.1251271724	0.1134548014	0.0948006283	0.0336545622172081	-0.0125784285026356	0.0011326295580319	0.0001582168635959	0.0213165323060451	0.0213301445206041	0.0004543945495546	0.0004549750652698	-0.006199324881237	-9.228156547180007e-05	3.843162898312414e-05	8.515887325926124e-09	-0.0001998906880951	-0.0001988906772026	3.995628718713255e-08	3.955750147814359e-08	-0.0008600252001484	-0.0001670257942195	7.396433448902955e-07	2.789761593468814e-08	0.0002539143374249	0.0002539147327848	6.447249074992595e-08	6.447269152519354e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
