global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
858.4716050742503	n/a	n/a	736973.4967187595	1032.1131471432514	n/a	n/a	1065257.5485059468	819.5347347306616	n/a	n/a	671637.1814300559	827.0225079563131	711.0363578635089	n/a	n/a	n/a	n/a	0.111548697	-0.1517063807	0.1162368159	-0.2432447339	0.045365043	-0.0206759371	-0.1432910424	0.17858238	-0.2567798226	0.095505942	-0.0352779994	0.0323560955	-0.0383474427	0.0502277984	0.1690287233	-0.0047112408	0.0663659212	-0.1384413115	-0.0798369202	0.2353224451	-0.0702269097	0.1337982115	-0.0133992166	0.0309921607	-0.1345582895	0.047361757	-0.0039342863	0.0706164644	-0.1493113315	0.0943114673	-0.0567165013	0.1521437413	-0.0011080044	0.043677795	-0.0172073113	0.0601285057	0.1502991386	-0.0533354585	0.1177275259	-0.0246070439	0.0986930786	-0.0111483231	0.1961392261	-0.207158745	0.0798805211	-0.1415131075	0.01370099	-0.1156615987	0.0218450647	-0.0690639655	0.0217078044	0.2109523822	-0.0117734298	0.0511525035	0.1879658243	-0.0380317482	0.1299436851	-0.1639491627	0.0535722596	-0.2392637471	0.0006649889	-0.0987183087	0.0246665051	-0.1566966452	0.1484826162	-0.1500102669	0.0374209375	-0.2409723515	0.0445960217	-0.0279983892	0.0709866794	0.0160842309	0.0681160218	-0.0010110449	0.06031898	-0.0364044123	0.0226329398	-0.1366146958	0.1290883846	0.1290552057	0.1289999139	-0.0425889189331911	n/a	0.0018138160158979	n/a	-0.0504488661888871	n/a	n/a	0.0025450880997442	-0.1440655369190722	n/a	0.0207548789277805	n/a	-0.0022190029318004	n/a	4.923974011338771e-06	n/a	0.0021170337503384	n/a	n/a	4.48183190007187e-06	-0.0004761531040611	n/a	n/a	2.267217785070208e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855.944271229519	-2.527333844731288	6.387416362724235	732640.5954506324	1017.1629086133116	-14.950238529939725	223.5096321020943	1034620.3826586922	818.5017282744984	-1.033006456163207	1.067102338474868	669945.0791883408	825.4979142244839	700.7013111396774	1.213828	23.136677	0.1235698451108048	0.0716954251743053	0.2049873315	-0.1644372396	-0.0699714707	-0.0559347217	-0.042631024	0.0534216549	0.0105694172	0.0594420917	-0.1899625613	-0.0413165329	0.0437721397	0.1193513772	-0.070730152	-0.1084115582	0.1937569841	0.1434443303	-0.046543585	-0.0701025024	-0.0784395338	0.1550600923	-0.1544279853	-0.1525770462	0.0384899158	-0.0491149992	-0.2759051076	-0.0013287733	-0.0646380992	0.0704427276	0.0434358657	0.1600850469	-0.0005542314	-0.0199924138	-0.0833453883	0.0042460478	0.1013786042	-0.0095609634	-0.0195725972	-0.1629802921	0.0969596696	-0.0564840327	0.1305916981	0.0314200652	0.1318001565	-0.1135530893	0.1005915626	-0.1357319822	0.0135063913	0.1415394468	0.1829333049	0.0315235399	-0.074528046	0.1786673355	0.0224724653	-0.0888578391	0.2551907442	0.0214939426	0.0293781355	-0.0732091653	0.0747292781	-0.3931422151	0.0796244301	0.0666512391	0.0449704517	-0.00448118	0.0189016231	-0.0786728364	0.132733882	-0.0311160608	-0.1991849197	0.1015684997	0.109131197	0.0228016797	0.0931891796	-0.1122759287	-0.031337577	-0.0160345125	0.0992123811	-0.0981696258	0.1289999139	0.1287014744	0.1282045865	-0.0396627527194368	0.0029261662137543	0.0015731339532831	8.562448710517175e-06	-0.0927949825719025	-0.0423461163830153	0.0017931935727238	0.0086109087905196	-0.096499498872447	0.0475660380466251	0.0093121532826334	0.0022625279754529	-0.0027106162667377	-0.0004916133349372	7.347440545503026e-06	2.416836710881737e-07	0.0020960103633751	-2.1023386963299733e-05	4.4198279940864116e-10	4.39325944337582e-06	-0.0003741593366135	0.0001019937674476	1.0402728598155114e-08	1.399952091750544e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855.4139893343374	-0.530281895181588	0.2811988883573766	731733.093148886	1016.9956798671936	-0.1672287461179848	0.0279654535281934	1034280.2128685354	818.6512000566647	0.1494717821663016	0.0223418136639703	670189.7873542173	825.5386713236646	705.7267941239016	1.263064	24.07515	0.3720588132917262	0.1900570683959279	0.0956178445	-0.1611277049	0.0462597651	0.066579335	-0.0181990178	0.1614834559	0.0586807249	0.114383799	-0.0184015488	-0.0174720644	-0.0116997804	0.0808833871	0.1107606158	-0.2400696298	0.1960802296	-0.0091411629	0.0027750356	-0.0943739906	0.0271592833	-0.0665107467	-0.2200204412	-0.1311178664	-0.0039106684	0.0211940815	-0.0597483468	-0.1435556375	-0.0913055825	-0.0524562097	0.1863032591	0.0075950118	0.0186191945	0.1073057605	-0.156497296	-0.041192891	-0.0484900584	0.0792640593	0.0241542477	-0.1094657164	0.0688161575	-0.0070978665	-0.1121533176	0.066865053	0.1473277098	0.0749702374	0.1033914155	-0.1433309642	-0.056043322	0.2213604177	0.0908532199	0.0583503688	-0.1110285884	0.0819369862	-0.0354527481	0.0884522068	0.1255809905	-0.0762154613	-0.1457451868	0.0295497077	-0.0788021751	-0.18178208	0.0310787832	-0.0200565155	0.143306599	0.067655286	0.082496344	0.0109575026	0.0358450969	0.0509075594	-0.0954996095	0.0737253224	0.0134522075	-0.0727986265	-0.1622003647	-0.1073063263	-0.1431204913	-0.0610495334	0.0520789304	-0.0340014412	0.1288230331	0.1279949812	0.1266188352	0.005980418497927	0.0456431712173638	3.576540541034744e-05	0.0020832990787775	0.0717623739490989	0.1645573565210014	0.0270791235851799	0.0051498383148103	-0.0467973915671109	0.0497021073053361	0.0021899958574855	0.0024702994705911	-0.0019496774511111	0.0007609388156266	3.801242163371076e-06	5.790278811272127e-07	0.0012712252023592	-0.0008247851610159	6.802705618320242e-07	1.6160135151131893e-06	0.0002832402517045	0.0006573995883179	4.321742187206758e-07	8.02250401856285e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
853.922995747276	-1.490993587061439	2.223061876658337	729184.4826660024	1016.6020519185512	-0.393627948642461	0.1549429619524719	1033479.7319650088	818.1427087854456	-0.5084912712190999	0.2585633729060161	669357.4919387865	824.8713296691274	705.1386507368995	1.438323	27.415743	0.4587176575089304	0.2316957554224931	-0.0748604305	0.0850181615	0.0802603238	-0.0632428058	-0.0173339188	0.003258384	-0.1257708356	-0.0929854365	0.0124484164	-0.0119178965	-0.0149585855	0.0847153215	0.1595201352	0.0047660555	0.186626467	-0.0533276528	0.0119933263	-0.0174371977	-0.0225520561	-0.0894146877	0.0414117257	-0.0389090896	0.1121290818	-0.0217867697	0.130947149	-0.1907272989	0.0959938205	0.0338138418	-0.0419320936	-0.0626652252	0.0034466257	-0.0044325624	0.1539210176	-0.15352782	-0.1603669058	-0.0632750785	0.1333116763	-0.0882659047	0.073370742	-0.0990888885	-0.0407369359	0.0335106527	-0.0530339661	0.1613731419	0.0330790854	0.0466585941	-0.1089662215	0.0196237852	-0.0850040467	0.1415258548	0.0263902179	0.0180033605	0.1549428172	0.0379758772	-0.0749697444	-0.0451436857	0.0570901293	0.1570728985	-0.0616412614	0.0314294888	0.0652071621	0.1600324267	0.218807922	0.0352913054	-0.0401705216	-0.0148372605	-0.085665685	0.1097404619	-0.108142874	-0.1376825317	-0.1036906526	-0.1495167855	-0.0889493726	0.1122859259	0.0911621612	-0.0803408189	-0.0834331205	-0.0667007907	0.1285578634	0.1269376627	0.1242524367	0.0477869700658573	0.0418065515679303	0.0022835945080751	0.001747787754002	-0.0100947915118894	-0.0818571654609883	0.0067005955373076	0.0001019048156685	-0.011348849728634	0.0354485418384769	0.0001287963901631	0.0012565991184742	0.0011292981925926	0.0030789756437037	1.275314407792913e-06	9.480091014520614e-06	-0.0015387795974202	-0.0028100047997794	7.896126974783268e-06	2.3678426494366726e-06	0.0003863677810521	0.0001031275293475	1.0635287309340098e-08	1.492800622351235e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
852.7813533205803	-1.1416424266957392	1.3033474304317365	727236.0365712803	1010.3762463871736	-6.225805531377546	38.76065451453125	1020860.1592634346	818.5710568274981	0.4283480420524483	0.183482045130166	670058.575075687	824.0330161077679	696.6186388431089	1.09411	20.854729	0.1100494796621489	0.0631426347073051	-0.0661214161	0.1576557604	-0.1392121359	0.0707015428	-0.0095718023	-0.0561768779	0.0826261329	-0.1284006698	0.1088010959	-0.0948544137	0.0400635711	0.0292812191	0.1107655512	0.107533733	0.0638192857	0.0084175975	-0.1456655036	0.1121450456	0.101991167	-0.1487332309	0.1472947075	-0.1683679033	0.111016802	0.0531259105	0.0563771903	0.0402151451	-0.1524732519	-0.0431143044	-0.0556913132	-0.0135285879	-0.050914897	-0.0352482006	-0.0251395808	-0.0905565649	-0.02320982	0.137201087	-0.0653381048	-0.0971485704	-0.0114093006	-0.0042284326	-0.1220928909	0.0423773928	-0.1915365221	0.1550054112	-0.0197819835	0.137668054	0.06304209	0.0625512741	0.053268182	0.0892512133	0.0829962724	-0.0449542976	0.1330634651	-0.014616038	-0.1298412067	0.0891445707	-0.0189766944	0.1385799961	-0.1060447109	0.0660138757	0.0773028756	0.1173537778	0.0576334205	0.0525901321	-0.0777560807	0.0641830724	-0.0311824337	0.0938021913	-0.0119614044	-0.0233237028	-0.0447754336	-0.0160337401	-0.0767301106	0.0618194867	0.0206806845	-0.0094181118	-0.0315538644	-0.0367863174	0.1282045865	0.1255324169	0.1211199807	0.0350409682718293	-0.0127460017940279	0.0012278694574273	0.0001624605617333	0.0192673320759411	0.0293621235878304	0.000862134301587	0.0003712300853245	-0.0088810003803985	0.0024678493482355	7.887216775663829e-05	6.090280405586385e-06	0.0022019794703018	0.0010726812777091	4.848713587630595e-06	1.1506451235478416e-06	-0.0015378172394189	9.62358001300014e-07	9.261329226661574e-13	2.3648818618539665e-06	0.0006221942439827	0.0002358264629306	5.5614120618357665e-08	3.871256772452036e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
853.5322810114111	0.7509276908308493	0.5638923968565516	728517.3547285425	1012.1834302629744	1.8071838758007743	3.2659135609543086	1024515.2964989216	819.1687341760706	0.5976773485725744	0.3572182129967425	671037.4150516259	825.0013895981184	694.8254005964412	1.191244	22.706188	0.2572388678202285	0.1347812123773801	-0.0124366544	0.0125302101	0.0559660149	0.214861358	0.0455283816	0.0570775999	0.0896480132	0.0041530963	0.1528170748	0.0503237803	-0.0357503665	-0.0091464693	-0.1496510321	-0.0235423684	0.0508487064	0.0040960536	0.045322069	0.1249827879	0.1223097457	-0.1197055893	-0.0052411301	-0.03357804	-0.2606799614	-0.004799531	-0.0322870465	-0.0513157364	0.0512308562	-0.0905995366	-0.0081508454	0.0622762505	-0.169697761	-0.0066268309	-0.2016879945	0.0696043962	0.0510321702	0.0464024575	-0.0286071957	0.0111785041	0.0442904263	0.1702705508	-0.1136917715	0.0282750641	-0.1570009373	-0.0358618399	-0.0555035968	-0.047633605	-0.1542305822	0.1343236649	-0.0456838384	-0.0156231984	-0.0997344567	0.0256332482	-0.1232299534	0.0743951345	-0.0241181586	-0.1055679226	-0.1893601163	0.1035794533	-0.0683147225	-0.0181990735	0.0192416389	0.050485888	0.0261587503	0.0349891052	-0.1937573821	-0.0016544285	0.071131376	0.0158377365	0.071708705	0.0644662161	-0.0381799412	-0.1254177085	-0.0645031186	0.1428059354	0.0468103767	-0.0553352484	0.0312340342	0.037594174	0.1277634447	0.1237830955	0.1172407796	0.011232232667524	-0.0238087356043053	0.0001261630506973	0.0005668558910757	0.0965046227740913	0.0772372906981502	0.0059655990743905	0.0093131422167696	6.479710360451918e-05	0.008945797484003	4.198664635534792e-09	8.002729262479473e-05	0.0005645883392459	-0.0016373911310558	3.187599928124435e-07	2.681049716060519e-06	-0.0003588607002449	0.001178956539174	1.3899385212611357e-06	1.2878100218025997e-07	0.0004936010335372	-0.0001285932104454	1.6536213772680645e-08	2.436419803089921e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
854.301908630722	0.7696276193108815	0.5923266724061352	729831.7510900944	1008.848604664299	-3.3348255986753657	11.12106177358051	1017775.5071331032	821.033598873939	1.86486469786837	3.477720341355687	674096.1704798922	826.4208854500574	701.1639300501624	1.241304	23.660391	0.2654561828443196	0.1552984550976552	-0.0377251611	0.0468536631	0.0826048001	-0.0849231717	-0.0350689888	-0.00456056	-0.0864533979	-0.0798719994	0.0935884714	-0.0125395099	-0.0607741457	0.0309165126	-0.1770937251	-0.0243035603	0.0300554182	0.0004029018	0.1355771422	-0.0083801089	-0.1865090717	0.0437751549	0.1142756101	-0.0486897349	-0.0577222117	-0.0943685743	-0.1139084161	-0.0675298961	0.1242677777	0.0239918497	-0.0495263434	0.1297015053	0.0053931175	0.0503254669	-0.0246070361	-0.0695111604	-0.0903310809	-0.0731178664	0.1214249485	0.0152424931	0.0521710056	0.0887061839	0.0847503055	-0.1547566865	0.0168421801	-0.0309399703	-0.0979389666	-0.1527895221	-0.0032039816	0.0532964426	0.1035155086	-0.0261314737	-0.0948964415	0.0250627693	0.1241042509	-0.0873110513	-0.0451325954	-0.065797611	0.1367590855	0.1020803781	0.0158016642	-0.0876635147	0.0420319573	-0.1700441349	-0.0358177979	-0.0354990611	-0.028267567	0.2857534682	-0.0620546775	-0.123034716	0.0883032753	-0.0216469287	0.0174512273	-0.0188446357	0.0860836703	0.2636039133	-0.0217312199	-0.030060824	0.0015902481	-0.0022577837	0.1272347401	0.1216944932	0.1126387502	0.0089926889865381	-0.0022395436809858	8.086845520860364e-05	5.015555899043873e-06	-0.0289372885200265	-0.1254419112941178	0.0157356731091213	0.0008373666668912	-0.0541150840193864	-0.0541798811229909	0.0029284423184252	0.0029354595185014	0.0015199660904124	0.0009553777511665	2.310296916003556e-06	9.127466474239588e-07	-0.0004361104164354	-7.724971619050002e-05	5.9675186515128005e-09	1.9019229532345806e-07	-0.0001456684340303	-0.0006392694675675	4.08665452164035e-07	2.1219292672839867e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855.604579983376	1.302671352653988	1.6969526530253705	732059.1972885292	1013.0517004735722	4.2030958092731225	17.666014381929283	1026273.7478323962	820.2622138129341	-0.7713850610049349	0.5950349123415871	672830.0994092956	825.456417811736	702.2150196212543	1.139511	21.720123	0.106733541002874	0.0538981912703024	-0.0310047767	0.0117468425	-0.0549165897	0.0221210217	-0.1087431217	0.1274293013	0.0147685299	-0.0535372367	0.0734827732	-0.1977165616	-0.0522853611	-0.0626273087	-0.1132718539	-0.0885150098	0.0130659397	0.0102194132	-0.0193329182	0.1493544255	-0.1363989883	-0.0686437771	0.0499040892	-0.001493221	-0.0280649879	0.0148367087	0.0385048132	0.1258076697	0.0403104829	-0.1117862827	-0.0683008754	0.1369934615	0.0520043555	-0.0585407183	0.0457434837	-0.0572676403	-0.0932584368	0.0643410843	0.0271016254	-0.1198218196	-0.0682177879	0.1230794127	0.07550055	-0.136366617	-0.0670275112	0.0320710876	-0.0161843295	0.1738197766	-0.0650116493	0.0801500884	0.0641692242	-0.0868575129	0.0249005619	-0.1258503411	0.0533163035	0.0910548987	-0.0394212029	0.0819423007	0.02145355	0.0880171535	0.0465772059	-0.0186203736	-0.0228474801	-0.0950163677	-0.1854338344	0.1173782132	-0.0183243981	0.0626011823	-0.1385806232	-0.0429800611	-0.0811205176	0.0715336915	0.0043833051	-0.0612604051	0.0795460526	0.1161600376	0.0455820822	-0.0453336394	-0.1234789897	0.0677660931	0.1266188352	0.1192723348	0.1073422654	0.0060078054261083	-0.0029848835604297	3.609372603797634e-05	8.909529869324077e-06	-0.0527644892750061	-0.0238272007549796	0.0005677354958181	0.0027840913284522	-0.0216676479460318	0.0324474360733546	0.0004694869675131	0.0010528361077344	0.0011650991156636	-0.0003548669747488	1.3574559493201028e-06	1.2593056976736546e-07	-0.000489269900751	-5.315948431559999e-05	2.8259307727005213e-09	2.393850357808934e-07	0.0003957855191875	0.0005414539532178	2.931723834551837e-07	1.5664617719851897e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
857.8766267586626	2.27204677528664	5.162196549090418	735952.3067388217	1014.0169030420528	0.9652025684806632	0.9316159982016692	1028230.279654996	821.5035903742285	1.2413765612943737	1.5410157669310434	674868.1489977482	826.4714203074991	710.3578259345089	0.933136	17.786428	0.2681002254971939	0.1527426546815005	-0.0529830535	-0.1304857159	-0.0241777803	0.0488227928	-0.073952691	0.0700582926	0.0560332733	0.08453074	0.0957513299	-0.0752811763	-0.0316805221	0.0920416551	-0.1280866476	-0.0533872134	-0.0755188106	0.0074084883	0.0201182692	0.0901092381	0.0138680961	0.0350864335	-0.1328872507	0.1364510818	-0.0915981368	0.0796170266	0.0305224675	-0.0450269733	-0.0738566867	-0.1197352844	0.0348852546	-0.0503419013	0.0060076687	-0.0670004911	0.0693970316	-0.1153735598	-0.0997531316	0.0907402964	-0.0349588155	-0.0164245176	-0.063027732	0.1839350628	-0.0264536439	-0.0536241514	0.0594665923	-0.0938940713	0.0592588555	0.1690251877	-0.0447410821	0.0084901511	-0.0328284323	0.0001208139	-0.0740077954	-0.0897019214	0.070876541	0.0270914089	-0.0133865206	-0.0395947682	-0.1169255612	0.0029757369	0.0260261147	0.0003220058	-0.1545198959	-0.1197840935	-0.1103929141	0.0684910171	0.058618221	0.0306928508	-0.0743915229	0.1674537859	0.0114973044	0.0374581226	0.0046239238	0.0452047749	-0.0562912563	0.0950529279	-0.0125443195	-0.1055292601	-0.052562477	0.0145525584	0.1259161521	0.1165232592	0.1013839798	0.014585468573756	0.0085776631476476	0.000212735893516	7.357630507451342e-05	0.0797222729934077	0.1324867622684138	0.0175527421763671	0.0063556408112354	-0.0039391330112295	0.0177285149348023	1.551676888015799e-05	0.0003143002417935	8.000076368999459e-05	-0.0010850983519736	6.400122190982357e-09	1.177438433455834e-06	6.991622692797961e-06	0.0004962615234437	2.4627549965075925e-07	4.888278787844741e-11	-0.0002090003083217	-0.0006047858275092	3.657658971559878e-07	4.368112887856566e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856.630886573557	-1.2457401851056602	1.5518686087870843	733816.4758317982	1012.3384394675307	-1.678463574522084	2.817239970997451	1024829.1160235554	820.7744119526427	-0.7291784215857433	0.531701170506276	673670.6353162065	827.1940406430465	713.5126242849337	0.913125	17.404989	0.1214851364669824	0.0872644857518886	-0.0514463012	-0.1064882222	0.1011462713	-0.0955254854	-0.0768137504	0.0601958508	-0.1372190564	0.028925061	0.0487441186	0.0138772868	-0.0557402466	0.1001959134	-0.0189559178	-0.1078991983	-0.0088211872	-0.0786362438	0.1198878928	0.0789105284	-0.034977465	0.1360180666	0.0077964786	0.0602634775	0.0422439973	-0.0043327708	0.0861608705	0.1708462222	-0.0341966967	-0.0608595166	-0.1001882903	-0.0772691188	0.0231986117	-0.0170953583	0.0211543899	-0.0839516153	-0.0229686519	0.0116000987	0.1456370519	0.0313373805	-0.0065160208	0.0710990877	0.0764863929	0.036454069	0.0550358567	-0.0138574555	0.0576804293	0.1753789603	0.0140768846	-0.0557089046	-0.0433875062	-0.1025964722	0.0888000246	-0.0428560136	0.041100854	-0.0209459057	0.0104251301	-0.0917781434	0.0663482064	-0.038627027	0.0787601889	0.0302460783	-0.225567373	-0.0613491905	-0.0875854339	0.0661454839	0.1691475925	0.0067743261	-0.0737388911	0.1618382212	0.0784077762	0.0658658726	0.0420202561	-0.0101092248	-0.0636123718	-0.0050672421	-0.0288912356	-0.0330421804	-0.0826766204	0.0848391651	0.1251271724	0.1134548014	0.0948006283	0.0201381751415965	0.0055527065678405	0.0004055460980336	3.083255022853902e-05	-0.0038592147386111	-0.0835814877320188	0.0069858650914976	1.489353839871314e-05	-0.0037662788738117	0.0001728541374177	1.4184856555320328e-05	2.987855282245164e-08	0.0003435433938665	0.0002635426301765	1.1802206346931315e-07	6.94547179203503e-08	0.0003319544476028	0.00032496282491	1.0560083757348864e-07	1.101937552832801e-07	-0.0002640566138293	-5.505630550759998e-05	3.031196776146184e-09	6.972589530699607e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
